unique_values;counts
24;49
21;45
20;41
27;41
23;38
19;37
22;36
17;35
26;35
25;35
15;34
13;31
18;31
16;28
12;27
11;23
30;23
28;23
14;22
32;22
33;21
36;20
29;20
31;20
35;17
37;16
38;16
10;14
40;13
39;12
34;11
44;10
9;10
42;9
41;9
46;7
49;7
7;7
43;5
48;5
6;4
8;4
47;3
50;3
78;2
66;2
68;2
54;2
56;2
53;2
59;2
58;2
45;2
65;2
76;1
57;1
62;1
51;1
224;1
72;1
67;1
63;1
61;1
60;1
4;1
159;1
79;1
85;1
115;1
